"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
166,203.085607194643,169.090695958411,238.048394754687,"2021-06-16",17890100,0.7,0.999,0.0108571428571429,102557,1.13518430413828e-05,0.00571621198745276,0.014101778050276,7.10093968367327
167,207.703835759155,165.283997699963,233.566757912541,"2021-06-17",17890100,0.7,0.999,0.0102857142857143,102286,1.16099874097492e-05,0.0057011504195994,0.0132842836705498,6.52332313115472
168,211.920094041989,159.375603076178,231.43540536318,"2021-06-18",17890100,0.7,0.999,0.00971428571428572,102014,1.18456629108831e-05,0.00568603304458537,0.0124667892908236,5.98417972896899
169,210.481194108089,151.396779748228,228.80988618016,"2021-06-19",17890100,0.7,0.999,0.00914285714285714,101743,1.17652329561092e-05,0.0056709710195767,0.0116492949110975,5.61508761329137
170,203.672336838781,142.125350177244,224.117533175443,"2021-06-20",17890100,0.7,0.999,0.00857142857142857,101471,1.13846393725458e-05,0.00565585318571349,0.0108318005313713,5.38120458080618
171,195.142899122299,134.079195826718,219.417687949623,"2021-06-21",17890100,0.7,0.999,0.008,101200,1.09078707845288e-05,0.0056407907035354,0.0100143061516452,5.17870133946566
172,186.917632279979,126.585328524055,215.680495473991,"2021-06-22",17890100,0.7,0.999,0.00771428571428571,100714,1.04481043862236e-05,0.00561377771011484,0.00960555896178213,5.16107714849666
173,177.984160651155,119.115020419122,211.148676219783,"2021-06-23",17890100,0.7,0.999,0.00742857142857143,100229,9.94875158054762e-06,0.00558681956740747,0.00919681177191907,5.1645603520329
174,166.137607789895,113.333221003335,205.822230186997,"2021-06-24",17890100,0.7,0.999,0.00714285714285714,99743,9.28656674864282e-06,0.00555980510779452,0.00878806458205599,5.26135521053393
175,151.540575945032,109.309419771136,200.033658923441,"2021-06-25",17890100,0.7,0.999,0.00685714285714286,99257,8.47063884187523e-06,0.0055327899143004,0.00837931739219293,5.47314123783178
176,139.446253051624,107.043616722527,198.081317623709,"2021-06-26",17890100,0.7,0.999,0.00657142857142857,98771,7.79460444892002e-06,0.00550577398690533,0.00797057020232986,5.63006864150378
177,136.055213617718,107.078033662687,200.486299908917,"2021-06-27",17890100,0.7,0.999,0.00628571428571429,98286,7.60505607110737e-06,0.00547881291618091,0.0075618230124668,5.44766707874443
178,134.703505966605,107.654672408028,205.18774476315,"2021-06-28",17890100,0.7,0.999,0.006,97800,7.52949988913449e-06,0.00545179552243413,0.00715307582260372,5.17924262109066
179,133.523617195251,108.773532958548,211.217164759103,"2021-06-29",17890100,0.7,0.999,0.00657142857142857,93700,7.46354783904232e-06,0.0052238417915067,0.00797057020232986,5.57871385338522
180,132.063549551904,110.434615314249,219.436453345925,"2021-06-30",17890100,0.7,0.999,0.00714285714285714,89600,7.3819346762681e-06,0.00499583581283192,0.00878806458205599,5.94745546931748
181,132.853383980157,112.637919475131,229.445222129812,"2021-07-01",17890100,0.7,0.999,0.00771428571428571,85500,7.42608392240161e-06,0.00476777757443414,0.00960555896178213,6.167068550052
182,135.513504221819,115.383445441192,240.760639881751,"2021-07-02",17890100,0.7,0.999,0.00828571428571429,81400,7.57477622941286e-06,0.00453966706433551,0.0104230533415083,6.24667851975939
183,140.803142793275,118.671193212434,251.780827247496,"2021-07-03",17890100,0.7,0.999,0.00885714285714286,77300,7.87045029336197e-06,0.00431150427055516,0.0112405477212344,6.15767430033273
184,146.340044380846,121.958940983676,262.254307925046,"2021-07-04",17890100,0.7,0.999,0.00942857142857143,73200,8.17994557776904e-06,0.00408328918110934,0.0120580421009606,6.01916875706668
185,152.942359522031,128.763234895388,273.530735774917,"2021-07-05",17890100,0.7,0.999,0.01,69100,8.54899410970487e-06,0.00385502178401176,0.0128755364806867,5.80600161573849
186,166.508467103695,139.084074947569,285.85698413283,"2021-07-06",17890100,0.7,0.999,0.0108571428571429,69157,9.30729661118132e-06,0.00385819561618261,0.014101778050276,5.84567361790024
187,187.35602526321,152.921461140221,300.128439078403,"2021-07-07",17890100,0.7,0.999,0.0117142857142857,69214,1.04726091672607e-05,0.00386136943824122,0.0153280196198651,5.65161418359228
188,213.570355719446,170.275393473342,316.745489005439,"2021-07-08",17890100,0.7,0.999,0.0125714285714286,69271,1.19379073185419e-05,0.0038645432501877,0.0165542611894544,5.35895083070255
189,243.925364279794,191.145871946933,335.858463595144,"2021-07-09",17890100,0.7,0.999,0.0134285714285714,69329,1.36346562780417e-05,0.0038677727326657,0.0177805027590435,5.04383406094876
190,275.660359433339,215.532896560993,356.708508547206,"2021-07-10",17890100,0.7,0.999,0.0142857142857143,69386,1.54085421229249e-05,0.00387094652421061,0.0190067443286328,4.7748898181624
191,298.735297864771,243.425242291289,379.026006542508,"2021-07-11",17890100,0.7,0.999,0.0151428571428571,69443,1.66983581905507e-05,0.00387412030564338,0.0202329858982219,4.69417535650027
192,327.985502671081,267.320961582054,401.462823135855,"2021-07-12",17890100,0.7,0.999,0.016,69500,1.83333521149172e-05,0.00387729407696413,0.0214592274678112,4.53838092650117
193,348.315800801437,287.220054433287,423.770427447539,"2021-07-13",17890100,0.7,0.999,0.0168571428571429,69200,1.94697514715646e-05,0.00386058990393567,0.0226854690374004,4.49822345497026
