"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
178,80.5482048715516,62.9966401427438,93.8397158188596,"2021-06-28",3571000,0.7,0.999,0.004,16800,2.25562041085275e-05,0.00469351607433299,0.00429184549356223,0.893051229527245
179,84.626161007665,68.453621915892,98.027989612415,"2021-06-29",3571000,0.7,0.999,0.004,16957,2.36981688624097e-05,0.00473727404264934,0.00429184549356223,0.857941740974097
180,89.562717527887,73.039229277029,102.526469853195,"2021-06-30",3571000,0.7,0.999,0.004,17114,2.50805705762775e-05,0.00478103008717667,0.00429184549356223,0.818140973780038
181,95.3578744322176,75.9642416480625,107.212780313952,"2021-07-01",3571000,0.7,0.999,0.004,17271,2.67034092501309e-05,0.00482478420799937,0.00429184549356223,0.775452608561986
182,102.011631720657,77.2286590289925,111.927269046916,"2021-07-02",3571000,0.7,0.999,0.004,17429,2.856668488397e-05,0.00486881507545245,0.00429184549356223,0.731488519772001
183,106.714326405537,77.8810299876831,116.669936052089,"2021-07-03",3571000,0.7,0.999,0.004,17586,2.98835974252414e-05,0.00491256533686824,0.00429184549356223,0.705536589281558
184,110.104102324262,77.1492709100023,121.440781329469,"2021-07-04",3571000,0.7,0.999,0.004,17743,3.08328485926245e-05,0.00495631367483373,0.00429184549356223,0.689904873567356
185,111.618120673446,75.419423603016,126.500085634858,"2021-07-05",3571000,0.7,0.999,0.004,17900,3.12568246075178e-05,0.00500006008943354,0.00429184549356223,0.68655359691318
186,112.88111375247,72.6914880667243,131.944275754225,"2021-07-06",3571000,0.7,0.999,0.00414285714285714,19571,3.1610505111305e-05,0.00546554768042251,0.00449621908849376,0.77740927338108
187,113.695083014614,69.1743319523403,138.610876049531,"2021-07-07",3571000,0.7,0.999,0.00428571428571429,21243,3.18384438573548e-05,0.00593109587663909,0.00470059268342531,0.875660443937916
188,114.06002845988,65.6571758379563,146.582465749498,"2021-07-08",3571000,0.7,0.999,0.00442857142857143,22914,3.19406408456679e-05,0.00639614790417886,0.00490496627835684,0.982224806727232
189,109.250319180815,62.1400197235724,155.169758182784,"2021-07-09",3571000,0.7,0.999,0.00457142857142857,24586,3.05937606219028e-05,0.00686126048023716,0.00510933987328837,1.14587128355824
190,99.2659551774201,58.6228636091884,164.181445185297,"2021-07-10",3571000,0.7,0.999,0.00471428571428571,26257,2.779780318606e-05,0.00732587735189094,0.0053137134682199,1.4003845156653
